official_name,city,state,engineering_rank,year
Indian Institute of Technology Madras More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 95.79 93.10 81.07 65.85 100.00,95.79,93.10,100.0,2024
Indian Institute of Technology Delhi More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 85.71 92.20 84.52 65.39 98.53,85.71,92.20,98.53,2024
Indian Institute of Technology Bombay More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 86.34 84.18 84.78 58.67 91.13,86.34,84.18,91.13,2024
Indian Institute of Technology Kanpur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 94.25 74.08 89.05 60.62 84.19,94.25,74.08,84.19,2024
Indian Institute of Technology Kharagpur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.22 79.28 79.16 57.83 80.26,78.22,79.28,80.26,2024
Indian Institute of Technology Roorkee More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 77.72 74.70 87.35 62.20 65.79,77.72,74.70,65.79,2024
Indian Institute of Technology Guwahati More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 76.81 68.07 84.48 59.56 55.38,76.81,68.07,55.38,2024
Indian Institute of Technology Hyderabad More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 88.73 57.50 77.88 55.70 65.31,88.73,57.50,65.31,2024
National Institute of Technology Tiruchirappalli More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 69.69 57.02 78.69 63.12 68.07,69.69,57.02,68.07,2024
Indian Institute of Technology (Banaras Hindu University) Varanasi More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 66.26 60.16 84.78 57.89 60.05,66.26,60.16,60.05,2024
Vellore Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 65.52 71.94 69.40 61.75 49.28,65.52,71.94,49.28,2024
Jadavpur University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.24 59.47 76.55 48.89 41.13,78.24,59.47,41.13,2024
S.R.M. Institute of Science and Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.11 68.70 64.60 66.85 17.57,78.11,68.70,17.57,2024
Anna University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 65.94 71.32 63.43 48.67 65.97,65.94,71.32,65.97,2024
Indian Institute of Technology (Indian School of Mines) Dhanbad More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 73.39 60.91 75.94 59.84 33.72,73.39,60.91,33.72,2024
Indian Institute of Technology Indore More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 79.79 55.21 75.82 60.67 29.90,79.79,55.21,29.9,2024
"National Institute of Technology Karnataka, Surathkal More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 74.65 49.04 78.44 62.31 52.37",74.65,49.04,52.37,2024
Indian Institute of Technology Gandhinagar More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 88.39 42.21 70.33 65.56 36.08,88.39,42.21,36.08,2024
National Institute of Technology Rourkela More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 76.49 57.00 73.24 59.41 27.38,76.49,57.00,27.38,2024
"Birla Institute of Technology and Science, Pilani More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 73.19 52.49 79.47 58.14 36.28",73.19,52.49,36.28,2024
National Institute of Technology Warangal More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 76.99 48.25 75.28 58.05 32.90,76.99,48.25,32.9,2024
Indian Institute of Technology Ropar More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 77.30 46.40 73.59 65.15 32.06,77.30,46.40,32.06,2024
Amrita Vishwa Vidyapeetham More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.05 49.58 65.28 62.49 37.03,78.05,49.58,37.03,2024
